,title,date,url,data_page_datail,cidade,local,tipo_evento
126,Individual de Leonilson,1997,https://enciclopedia.itaucultural.org.br/evento249421/individual-de-leonilson,1997,Brasil / Rio de Janeiro / Rio de Janeiro , Centro Cultural Light,Individual
127,Leonilson: são tantas as verdades,1997,https://enciclopedia.itaucultural.org.br/evento249428/leonilson-sao-tantas-as-verdades,1997,Brasil / São Paulo / São Paulo , Museu de Arte de São Paulo Assis Chateaubriand (Masp),Individual
128,Individual de Leonilson,1997,https://enciclopedia.itaucultural.org.br/evento249429/individual-de-leonilson,1997,Brasil / São Paulo / São Paulo , Museu de Arte Contemporânea da Universidade de São Paulo (MAC/USP),Individual
129,15 Artistas Brasileiros,1997,https://enciclopedia.itaucultural.org.br/evento643384/15-artistas-brasileiros,1997,Brasil / Rio de Janeiro / Rio de Janeiro , Museu de Arte Moderna do Rio de Janeiro (MAM/RJ),Coletiva
130,15 Artistas Brasileiros,1997,https://enciclopedia.itaucultural.org.br/evento643385/15-artistas-brasileiros,1997,Brasil / Bahia / Salvador , Museu de Arte da Bahia,Coletiva
131,Medidas de Si,05/03/1998,https://enciclopedia.itaucultural.org.br/evento22896/medidas-de-si,05.03.1998 - 15.03.1998,Brasil / São Paulo / São Paulo , Museu de Arte Moderna de São Paulo (MAM/SP),Coletiva
132,Afinidades Eletivas I: o olhar do colecionador ,27/03/1998,https://enciclopedia.itaucultural.org.br/evento249571/afinidades-eletivas-i-o-olhar-do-colecionador,27.03.1998 - 10.05.1998,Brasil / São Paulo / São Paulo , Casa das Rosas,Coletiva
133,O Suporte da Palavra,14/04/1998,https://enciclopedia.itaucultural.org.br/evento221974/o-suporte-da-palavra,14.04.1998 - 26.04.1998,Brasil / São Paulo / São Paulo , Museu de Arte Moderna de São Paulo (MAM/SP),Exposição
134,"Medidas de Si (1998 : Campinas, SP)",16/04/1998,https://enciclopedia.itaucultural.org.br/evento221976/medidas-de-si-1998-campinas-sp,16.04.1998 - 15.05.1998,Brasil / São Paulo / Campinas , Itaú Cultural,Coletiva
135,Individual de Leonilson,14/05/1998,https://enciclopedia.itaucultural.org.br/evento249256/individual-de-leonilson,14.05.1998 - 10.06.1998,Brasil / São Paulo / São Paulo , Galeria Thomas Cohn,Individual
136,O Suporte da Palavra,25/06/1998,https://enciclopedia.itaucultural.org.br/evento221975/o-suporte-da-palavra,25.06.1998 - 21.07.1998,Brasil / Minas Gerais / Belo Horizonte , Itaugaleria Belo Horizonte,Exposição
137,Arte Brasileira no Acervo do Museu de Arte Moderna de São Paulo: doações recentes 1996 - 1998 ,06/08/1998,https://enciclopedia.itaucultural.org.br/evento221090/arte-brasileira-no-acervo-do-museu-de-arte-moderna-de-sao-paulo-doacoes-recentes-1996-1998,06.08.1998 - 27.09.1998,Brasil / Rio de Janeiro / Rio de Janeiro , Centro Cultural Banco do Brasil (CCBB Rio),Coletiva
138,Os Anos 80,03/09/1998,https://enciclopedia.itaucultural.org.br/evento221792/os-anos-80,03.09.1998 - 26.09.1998,Brasil / Goiás / Goiânia , Galeria Potrich Arte Contemporânea ,Coletiva
139,Cohntemporânea,17/09/1998,https://enciclopedia.itaucultural.org.br/evento336270/cohntemporanea,17.09.1998 - 10.10.1998,Brasil / São Paulo / São Paulo , Galeria Thomas Cohn,Coletiva
